"Week","Tract 18 Max","Week","Tract 27 Max","Week","Tract 28 Max","Week","Tract 37 Max","Week","Tract 44.01 Max","Week","Tract 44.02 Max"
202307,82,202307,82,202307,72,202307,152,202307,72,202307,152
202308,87,202308,87,202308,102,202308,109,202308,102,202308,109
202309,56,202309,52,202309,52,202309,61,202309,52,202309,61
202310,64,202310,65,202310,58,202310,73,202310,30,202310,73
202311,68,202311,69,202311,75,202311,86,202311,75,202311,86
202312,58,202312,48,202312,58,202312,52,202312,31,202312,52
202313,51,202313,51,202313,65,202313,68,202313,65,202313,68
202314,73,202314,65,202314,95,202314,106,202314,95,202314,106
202315,57,202315,61,202315,72,202315,71,202315,72,202315,71
202316,33,202316,34,202316,33,202316,34,202316,24,202316,32
