"Week","Tract 18 Mean","Week","Tract 27 Mean","Week","Tract 28 Mean","Week","Tract 37 Mean","Week...9","Tract 44.01 Mean","Week...11","Tract 44.02 Mean"
202109,42.2727272727273,202109,41.5806451612903,202109,40.1967213114754,202109,38.2,202109,39.5,202109,36.3488372093023
202110,41.0580357142857,202110,37.5838414634146,202110,39.5456349206349,202110,37.6507936507937,202110,35.9047619047619,202110,36.3809523809524
202111,29.9672619047619,202111,27.4151785714286,202111,28.3214285714286,202111,26.0218253968254,202111,25.2678571428571,202111,25.1041666666667
202112,22.2261904761905,202112,19.9925595238095,202112,20.4166666666667,202112,18.077380952381,202112,17.6011904761905,202112,17.1130952380952
202113,26.8229166666667,202113,24.4717261904762,202113,25.2559523809524,202113,22.6448412698413,202113,22.1011904761905,202113,21.6845238095238
202114,31.6904761904762,202114,28.8660714285714,202114,29.922619047619,202114,27.6388888888889,202114,25.7678571428571,202114,26.1875
202115,32.3720238095238,202115,30.3348214285714,202115,30.3888888888889,202115,29.0138888888889,202115,26.9404761904762,202115,27.5059523809524
202116,33.5014880952381,202116,33.4791666666667,202116,32.3373015873016,202116,33.6924603174603,202116,31.8571428571429,202116,32.9434523809524
202117,20.3199404761905,202117,20.2172619047619,202117,20.9384920634921,202117,20.3968253968254,202117,21.5892857142857,202117,20.8571428571429
202118,21.0044642857143,202118,20.6205357142857,202118,20.7103174603175,202118,20.5079365079365,202118,21.2083333333333,202118,20.9107142857143
202119,25.2276785714286,202119,25.0372023809524,202119,25.0138888888889,202119,25.5178571428571,202119,25.0178571428571,202119,25.639880952381
202120,21.5,202120,21.0714285714286,202120,22.1150793650794,202120,21.7103174603175,202120,22.6785714285714,202120,22.2232142857143
202121,19.4754601226994,202121,18.5429447852761,202121,20.7281746031746,202121,19.4404761904762,202121,22.4166666666667,202121,17.4315476190476
202122,28.735119047619,202122,26.8616071428571,202122,28.1488095238095,202122,25.8849206349206,202122,27.4166666666667,202122,23.8154761904762
202123,17.6815476190476,202123,16.2974452554745,202123,17.890873015873,202123,15.6884920634921,202123,17.6904761904762,202123,15.4196428571429
202124,23.6383928571429,202124,23.3611111111111,202124,24.6706349206349,202124,19.6488095238095,202124,24.3928571428571,202124,17.9047619047619
202125,18.09375,202125,16.8211009174312,202125,19.2956349206349,202125,16.5515873015873,202125,18.5833333333333,202125,16.6220238095238
202126,25.9702380952381,202126,25.8779761904762,202126,26.8809523809524,202126,26.2916666666667,202126,26.8452380952381,202126,27.1517857142857
202127,28.5446428571429,202127,28.0061349693252,202127,28.6924603174603,202127,28.4940476190476,202127,27.5,202127,29.0833333333333
202128,30.4747023809524,202128,29.9568452380952,202128,30.343253968254,202128,30.6289682539683,202128,29.6607142857143,202128,30.639880952381
202129,30.6636904761905,202129,30.391369047619,202129,29.5337301587302,202129,31.2837301587302,202129,28.8809523809524,202129,30.7916666666667
202130,32.3571428571429,202130,31.5625,202130,31.3293650793651,202130,31.3888888888889,202130,31.327380952381,202130,31.3184523809524
202131,38.4315476190476,202131,37.9375,202131,36.8710317460317,202131,37.2976190476191,202131,38.5357142857143,202131,36.6428571428571
202132,40.8363095238095,202132,40.1785714285714,202132,39.2916666666667,202132,40.1329365079365,202132,41.5297619047619,202132,39.2946428571429
202133,81.6934523809524,202133,81.3199404761905,202133,81.1626984126984,202133,82.2876984126984,202133,85.7440476190476,202133,82.3363095238095
202134,83.1101190476191,202134,83.0699404761905,202134,82.906746031746,202134,84.0238095238095,202134,86.5892857142857,202134,83.7886904761905
202135,73.5327380952381,202135,72.8973214285714,202135,73.5396825396825,202135,74.8174603174603,202135,78.4821428571429,202135,74.9821428571429
202136,46.7336309523809,202136,46.0178571428571,202136,45.4424603174603,202136,46.7142857142857,202136,47.4940476190476,202136,46.6309523809524
202137,46.0773809523809,202137,45.4642857142857,202137,44.3075396825397,202137,45.5615079365079,202137,47.3392857142857,202137,44.7619047619048
202138,41.0089285714286,202138,40.6309523809524,202138,39.7361111111111,202138,40.3234126984127,202138,42.9702380952381,202138,40.0327380952381
202139,34.4181547619048,202139,34.1116071428571,202139,33.1349206349206,202139,34.6884920634921,202139,35.375,202139,34.4345238095238
202140,34.9285714285714,202140,33.3214285714286,202140,32.9186507936508,202140,33.859126984127,202140,35.0119047619048,202140,33.3035714285714
202141,34.2961309523809,202141,33.2113095238095,202141,33.1884920634921,202141,34.7063492063492,202141,35.1666666666667,202141,34.5922619047619
202142,22.0208333333333,202142,20.8005952380952,202142,19.5238095238095,202142,21.468253968254,202142,21.8809523809524,202142,21.047619047619
202143,32.3820895522388,202143,31.9166666666667,202143,33.5833333333333,202143,34.6170634920635,202143,39.6785714285714,202143,35.25
202144,34.7003968253968,202144,34.8377976190476,202144,37.0912698412698,202144,38.8214285714286,202144,43.5357142857143,202144,39.8154761904762
202145,56.8216432865731,202145,56.2443778110945,202145,60.9438877755511,202145,65.7034068136273,202145,69.5773809523809,202145,68.5981873111783
202146,74.7734627831715,202146,73.8913690476191,202146,82.6349206349206,202146,87.9285714285714,202146,96.1488095238095,202146,92.6071428571429
202147,68.8392857142857,202147,71.3244047619048,202147,81.5873015873016,202147,85.9166666666667,202147,100.916666666667,202147,90.8958333333333
202148,93.3333333333333,202148,94.9672619047619,202148,106.21626984127,202148,112.849206349206,202148,124.083333333333,202148,119.017857142857
